name,n,m,d,c,t,s,x
../network-corpus/networks/columbia-mobility.txt.gz,864,4147,9,12,17.9,d,x
../network-corpus/networks/columbia-social.txt.gz,864,7724,18,54,25.5,d,x
../network-corpus/networks/cora_citation.txt.gz,23167,89157,13,70,49.8,d,x
../network-corpus/networks/countries.txt.gz,592414,624402,6,11048,9415.9,d,x
../network-corpus/networks/CoW-interstate.txt.gz,182,319,4,13,0.7,d,x
../network-corpus/networks/cpan-authors.txt.gz,839,2112,9,52,11.1,d,x
../network-corpus/networks/deezer.txt.gz,54573,498202,21,83,400.2,d,x
../network-corpus/networks/digg.txt.gz,30399,86312,10,20,139.7,d,x
../network-corpus/networks/diseasome.txt.gz,1419,2738,11,9,16.1,c,x
../network-corpus/networks/DNC-emails.txt.gz,1866,4384,17,74,19.7,d,x
../network-corpus/networks/dogster_friendships.txt.gz,426821,8546581,249,32804,48807.8,d,x
../network-corpus/networks/dolphins.txt.gz,62,159,4,5,0.5,d,x
../network-corpus/networks/dutch-textiles.txt.gz,48,134,7,12,0.3,d,x
../network-corpus/networks/ecoli-transcript.txt.gz,424,578,3,11,1.1,d,x
../network-corpus/networks/edinburgh_associative_thesaurus.txt.gz,23132,297094,34,205,1175.4,d,x
../network-corpus/networks/email-Enron.txt.gz,36692,183831,43,187,752.2,d,x
../network-corpus/networks/escorts.txt.gz,16730,39044,11,69,51.6,d,x
../network-corpus/networks/EU-email-core.txt.gz,986,16064,34,162,29.1,d,x
../network-corpus/networks/euroroad.txt.gz,1174,1417,2,4,4.1,d,x
../network-corpus/networks/eva-corporate.txt.gz,7253,6711,3,7,9.0,d,x
../network-corpus/networks/exnet-water.txt.gz,1893,2416,2,3,7.1,d,x
../network-corpus/networks/facebook-links.txt.gz,63731,817090,52,233,1705.6,d,x
../network-corpus/networks/foldoc.txt.gz,13357,91471,12,63,65.1,d,x
../network-corpus/networks/foodweb-caribbean.txt.gz,492,3313,13,155,10.8,d,x
../network-corpus/networks/foodweb-otago.txt.gz,141,832,14,36,3.2,d,x
../network-corpus/networks/football.txt.gz,115,613,8,10,5.0,d,x
../network-corpus/networks/google+.txt.gz,23629,39194,12,490,97.0,d,x
../network-corpus/networks/gowalla.txt.gz,196591,950327,51,1132,1258.8,d,x
../network-corpus/networks/haggle.txt.gz,275,2124,39,41,6.6,d,x
../network-corpus/networks/hex.txt.gz,331,930,3,3,27.2,d,x
../network-corpus/networks/hypertext_2009.txt.gz,114,2196,28,54,16.8,d,x
../network-corpus/networks/ia-email-univ.txt.gz,1134,5451,11,19,28.7,d,x
../network-corpus/networks/ia-infect-dublin.txt.gz,411,2765,17,23,16.9,d,x
../network-corpus/networks/ia-reality.txt.gz,6810,7680,5,19,8.9,d,x
../network-corpus/networks/infectious.txt.gz,411,2765,17,23,17.5,d,x
../network-corpus/networks/ingredients.txt.gz,4372,591463,462,836,3424.3,d,x
../network-corpus/networks/iscas89-s1196.txt.gz,377,537,2,3,1.2,d,x
../network-corpus/networks/iscas89-s1238.txt.gz,416,625,2,3,1.3,d,x
../network-corpus/networks/iscas89-s13207.txt.gz,2492,3406,4,31,8.4,d,x
../network-corpus/networks/iscas89-s1423.txt.gz,423,554,2,5,1.1,d,x
../network-corpus/networks/iscas89-s1488.txt.gz,463,779,3,11,2.0,d,x
../network-corpus/networks/iscas89-s1494.txt.gz,473,796,3,11,1.7,d,x
../network-corpus/networks/iscas89-s15850.txt.gz,3247,4004,4,16,9.1,d,x
../network-corpus/networks/iscas89-s208.1.txt.gz,61,67,2,3,0.3,d,x
../network-corpus/networks/iscas89-s27.txt.gz,9,8,1,2,0.2,d,x
../network-corpus/networks/iscas89-s298.txt.gz,92,131,2,6,0.4,d,x
